gene	repli-seq
BTF3	58.706
BTF3L4	73.9148
BTG1	76.7168
BTG2	78.2625
BTG3	52.9925
BTK	35.6041
BTLA	78.132
BTN2A1	75.1352
BTN2A2	75.5271
BTN3A1	75.6213
BTN3A2	75.217
BTN3A3	75.3482
BTNL8	71.6177
BTRC	67.3022
BUB1	74.4768
BUB1B	77.7113
BUB3	69.9954
BUD13	74.9601
BUD31	73.8515
BYSL	76.3214
BZW1	74.5388
BZW2	33.6681
C10orf10	60.0443
C10orf128	64.0537
C10orf25	60.3466
C10orf54	80.2266
C10orf76	79.3439
C10orf88	60.9823
C10orf95	80.2825
C10orf99	64.5187
C11orf1	73.6165
C11orf21	52.4395
C11orf24	80.1378
C11orf31	68.8376
C11orf49	76.19
C11orf54	59.6741
C11orf57	73.1002
C11orf58	61.6602
C11orf63	66.874
C11orf65	70.7095
C11orf68	78.0812
C11orf71	45.4771
C11orf73	78.7622
C11orf74	43.3317
C11orf80	77.8258
C11orf84	78.032
C12orf29	34.03
C12orf4	68.5052
C12orf42	69.6005
C12orf43	75.6863
C12orf45	78.7335
C12orf49	65.3889
C12orf57	77.9192
C12orf60	58.402
C12orf65	80.1438
C12orf66	51.0777
C12orf73	76.5037
C12orf74	77.278
C12orf75	71.6401
C12orf77	78.5055
C14orf1	80.3314
C14orf105	34.8439
C14orf119	78.0276
C14orf132	60.2928
C14orf142	75.6695
C14orf159	77.7713
C14orf166	66.7668
C14orf178	71.9323
C14orf2	71.019
C14orf28	55.9291
C14orf79	79.6236
C14orf80	76.3137
C14orf93	78.0823
C15orf39	79.7719
C15orf40	66.8936
C15orf41	49.8373
C15orf53	62.2959
C15orf57	78.4648
C15orf61	76.6928
C15orf62	79.7799
C16orf13	79.228
C16orf45	70.9667
C16orf46	67.1524
C16orf52	75.1441
C16orf54	80.7098
C16orf58	62.9576
C16orf59	77.9319
C16orf62	51.0055
C16orf70	79.8522
C16orf71	77.1533
C16orf72	75.3291
C16orf74	78.571
C16orf86	78.0643
C16orf87	77.1212
C16orf89	66.4506
C16orf91	79.127
C16orf95	61.6847
C17orf100	64.2525
C17orf49	75.1867
C17orf51	49.0553
C17orf53	79.32
C17orf58	76.7734
C17orf62	79.7085
C17orf67	76.0792
C17orf75	79.0076
C17orf80	74.8491
C17orf89	71.4769
C17orf96	79.297
C17orf97	61.9021
C18orf25	71.2981
C18orf32	69.2031
C18orf8	77.2671
C19orf12	73.9796
C19orf24	80.9116
C19orf25	79.2634
C19orf35	80.1564
C19orf38	77.801
C19orf43	79.278
C19orf44	79.4086
C19orf47	80.0718
C19orf48	71.0502
C19orf52	78.3341
C19orf53	79.6512
C19orf54	75.7693
C19orf57	81.9375
C19orf60	80.442
C19orf66	77.6612
C19orf70	72.8105
C19orf73	76.2197
C1D	72.1426
C1GALT1	53.2843
C1GALT1C1	38.1716
C1QBP	75.0784
C1QC	61.5575
C1QTNF1	64.3388
C1QTNF4	80.2452
C1R	75.3603
C1RL	75.1341
C1orf101	68.0633
C1orf106	77.0759
C1orf109	75.6334
C1orf112	73.9727
C1orf115	39.1741
C1orf122	75.5751
C1orf123	69.3428
C1orf131	58.7687
C1orf159	81.1545
C1orf168	22.8109
C1orf174	52.038
C1orf194	75.3129
C1orf198	48.5313
C1orf21	54.1665
C1orf210	70.1532
C1orf228	78.1009
